"variable","DRF","GBM","GLM"
"OTU2279_s__Lactococcus_raffinolactis",1,0.39485071364404,0.507647035786494
"OTU1959_s__Longicatena_caecimuris",0.975125985446364,0.178106279932744,0.540735833960403
"OTU1537_s__Phocaeicola_salanitronis",0.883280698945346,0.227218403538888,0.438913459470755
"OTU2575_s__Anaerobutyricum_hallii",0.67619881051199,0.00312091571323253,0.710957673743377
"OTU2318_s__Streptococcus_agalactiae",0.47456610865086,0.00389351365467033,0.408006722093116
"OTU2322_s__Streptococcus_pneumoniae",0.471358009345676,0.329477026823925,0.233506070807278
"OTU2426_s__Eubacterium_sp._MSJ-33",0.391265500634141,0.170228309214493,0.33346660783405
"OTU1522_s__Bacteroides_eggerthii",0.290830134538973,0.00921163185507955,0.72592005375197
"OTU2511_s__Anaerotruncus_colihominis",0.231536021725116,0.114296640153857,0.700523615878071
"OTU1470_s__Alistipes_onderdonkii",0.225163064775059,0.0784595825400243,0.447679252644258
"OTU2418_s__Aminipila_luticellarii",0.217945591878784,0.0101632793096855,0.678782559694965
"OTU2544_s__Herbinix_luporum",0.184619228476082,0.0134651351486939,0.755015488079847
"OTU743_s__Sutterella_wadsworthensis",0.1718203685601,1,1
"OTU2413_s__Christensenella_minuta",0.135553993612243,0.0179503546580467,0.220784125052043
"OTU2524_s__Vescimonas_fastidiosa",0.124262943003173,0.0167945967956406,0.33110257153547
"OTU2347_s__Veillonella_atypica",0.119975961639749,0.0741529730329928,0.538576483810052
"OTU1471_s__Alistipes_communis",0.078546454763219,0.187859324483275,0.233031308625484
"OTU1944_s__Thomasclavelia_ramosa",0.0490915334040509,0.00196496846622611,0.309420163014694
"OTU2571_s__Butyrivibrio_crossotus",0.0473382644714721,0.000380999464174612,0.614111027573498
"OTU2541_s__Faecalibacterium_prausnitzii",0.0414209810010576,0.0287765188696682,0.292017420871948
"OTU1473_s__Alistipes_senegalensis",0.0368186508759991,0.00729623249842402,0.212024783766585
"OTU1952_s__Faecalitalea_cylindroides",0.0368186508759991,0.0630892614075971,0.210126057633813
