"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"DeepLearning_grid_1_AutoML_34_20240206_84948_model_3",1,0.00767682456766476,1,0,0.0360487582440124,0.00129951297093526
"DeepLearning_grid_2_AutoML_34_20240206_84948_model_3",0.986666666666667,0.310045196890183,0.981739330594319,0.0477777777777778,0.284661384435636,0.081032103788813
"DeepLearning_grid_2_AutoML_34_20240206_84948_model_1",0.982222222222222,0.337548548644704,0.977745301804519,0.0755555555555556,0.283501728834567,0.0803732302521884
"DeepLearning_grid_3_AutoML_34_20240206_84948_model_1",0.968888888888889,0.271884460276659,0.95855668196634,0.0877777777777778,0.286146207798375,0.0818796522373906
"GLM_1_AutoML_34_20240206_84948",0.96,0.299795394573138,0.921868792320235,0.06,0.256429868429782,0.0657562774229152
"DeepLearning_grid_3_AutoML_34_20240206_84948_model_2",0.958888888888889,1.15847857255301,0.908385620989274,0.0677777777777778,0.338601500553847,0.114650976177317
"DeepLearning_grid_1_AutoML_34_20240206_84948_model_1",0.956666666666667,1.3696650465665,0.910596162922891,0.0877777777777778,0.302081587493379,0.0912532855025202
"DeepLearning_grid_3_AutoML_34_20240206_84948_model_3",0.944444444444444,0.571024064747784,0.935443338309295,0.103333333333333,0.348015900586706,0.121115067061176
"XRT_1_AutoML_34_20240206_84948",0.94,0.42025315000982,0.927456718514623,0.147777777777778,0.360585111269972,0.130021622469578
"DRF_1_AutoML_34_20240206_84948",0.931111111111111,0.417160215244926,0.927412433908964,0.127777777777778,0.356626345774953,0.127182350500796
"DeepLearning_grid_2_AutoML_34_20240206_84948_model_2",0.902222222222222,1.48056691648642,0.788732272597085,0.1,0.372307901867819,0.138613173793217
"GBM_grid_1_AutoML_34_20240206_84948_model_1",0.864444444444444,0.435966722905004,0.861390410374905,0.194444444444444,0.377707481875267,0.142662941864555
"GBM_5_AutoML_34_20240206_84948",0.828888888888889,0.540542759928625,0.78962769391597,0.24,0.431674272253856,0.186342677325896
"GBM_grid_1_AutoML_34_20240206_84948_model_3",0.782222222222222,0.535479547830597,0.808538848931057,0.214444444444444,0.420266034779786,0.176623539989524
"GBM_4_AutoML_34_20240206_84948",0.776666666666667,0.516158784444143,0.800116858963052,0.214444444444444,0.414505134589307,0.171814506600899
"GBM_3_AutoML_34_20240206_84948",0.765555555555556,0.527463485980864,0.794075508491015,0.214444444444444,0.417609526531623,0.174397716649966
"GBM_2_AutoML_34_20240206_84948",0.76,0.54693503409295,0.78118348227176,0.214444444444444,0.429759488455129,0.184693217917214
"DeepLearning_grid_1_AutoML_34_20240206_84948_model_2",0.735555555555556,3.71607728829995,0.766191455096024,0.254444444444444,0.477152298582925,0.227674316042969
"DeepLearning_1_AutoML_34_20240206_84948",0.72,1.73398233395291,0.680145000769938,0.246666666666667,0.497812911545053,0.247817694900963
